LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EA,,,,,18426.0891663195,20058.2443525372,21173.9242673761,22494.06661845,22508.2800715481,23311.2198247242,23538.479597644,24671.4021384104,25653.8573810838,26707.5677512773,26519.171137922,27354.7586698637,27843.7845584779,28236.6378943761,28978.4021971427,29385.6868895367,29879.5213821842,31582.8402237288,32608.6821826095,33852.7270097107,35718.775590044,36172.1654092297,37262.4085702557
ESP,12198.4516905312,12738.8883418887,13546.0840323704,14311.5941829935,14908.4450927674,16886.9864346778,18119.6801358825,19726.9680116253,19862.9913797717,20570.1031156442,21092.4195853579,22101.654455942,22364.8342435554,23317.348625525,22991.1944201418,22897.5441927478,22982.971416413,22402.2051335687,23021.399352256,23479.1030734388,24640.7765484176,26018.3906627201,27136.4617871495,27746.2357558076,29804.4120628603,28798.336127509,29535.9819458927
EST,5371.26273663678,5605.00884222373,6046.52822580789,6309.13135783138,6509.66873786382,7230.04757311836,7687.42685914631,8433.63575345741,9034.62748858206,9841.04878090621,10744.9953853817,12072.9154172108,13398.3993410533,15100.4988501364,14353.0350697327,14690.8460518244,15645.2209917286,16236.751515705,17465.7408318809,18319.1519276539,19321.3291478592,20727.3170053457,21826.4676290509,23485.9900508542,24915.9457946444,25789.552080974,26934.6189743083
EU,,,,,15986.463223709,17410.3752418791,18446.928260953,19697.7576522428,19794.2281047541,20596.6667103527,20839.0492075645,21874.0912590766,22918.1680858741,24074.4587676198,24011.0903426525,24910.8208826872,25498.3747713569,25981.4828547398,26641.5987894254,27038.2119827472,27561.0388103138,29233.1876192099,30303.4819715368,31560.8543747289,33465.5496848134,34078.1085585064,35355.4275878304
FIN,12926.274179749,13145.3803760195,14038.9772758937,14724.2507972535,15726.9633083095,17212.7340414104,17500.8402715784,18888.2457277591,19275.5720156702,20786.9899649526,20876.7311716312,22155.8230774819,24261.6348340104,25978.2415448409,26334.7186729308,27630.5453452097,28489.4495067786,29373.983871873,30093.2105440337,30263.2133645628,30849.1223441098,32273.2230052653,33377.1258240619,34675.1907182505,36295.7589866091,37079.7400572424,37441.8628193301
FRA,16511.4230373078,17033.1555982505,17645.8553658888,18319.4886662124,19030.6282945189,21227.6383333073,22663.3109218372,24402.0803237876,23597.8272354257,24223.4426776974,24746.9632901101,25713.9225948399,26992.0779796375,27756.5303694484,27878.7720524004,29168.8759841264,29757.8903248459,30369.3747884718,31388.0207749005,31699.9141206895,31890.7023268608,33550.6700073678,34316.8246217008,35280.4130143154,37573.3545588167,38528.0251254903,39846.8347701863
GBR,15336.2483697462,16379.8933889906,16779.0414986229,16812.334741976,17699.953642764,20018.8804176672,21416.5985338455,22764.1831376378,23158.1344088242,24874.0286940691,24567.8758629594,25787.0650749573,26564.4991010031,27163.0831779131,26910.6361778069,27632.9293668503,27563.1040958994,28630.6462837624,29252.6844068104,29726.9653840956,30915.3038284633,31697.7679008483,32417.6286543526,33296.7681524208,34822.8715310716,34904.6811520166,36782.7933437556
GRC,13180.7679067863,13481.6608062187,13801.5371685559,14460.8840437011,14579.7591875724,15716.0655525783,16983.071485602,18883.2765550998,19470.462372289,20562.6039172792,20437.1711258471,22139.6066096365,22952.8236848626,24398.7280588958,24535.0755461377,22097.8828466763,20129.5929502622,18709.5250939706,18672.4577217443,19285.9423608952,19593.2422472153,20285.60407155,20670.2707708493,21202.7190783422,22824.4729701698,22153.7795109784,23783.7514461732
HUN,7913.34533232095,7885.11713396324,8021.23202465118,8264.3258177701,8558.93191487531,9404.9816559933,10222.9546492841,11420.7740315217,11984.5810290676,12776.0630306043,13312.0703509895,13806.4534930043,13603.5220658072,14139.7397830801,14246.5979607172,15220.7335536364,16287.5735002264,16531.7521255845,17193.9172733869,17543.0656817193,17974.1857660738,18933.3220072533,19791.3476692934,21485.053041675,23143.432352777,23357.8648914498,25005.3788446723
IRL,12478.7524596727,13420.4950051016,14074.0393542957,15372.0116202959,15803.3646204896,17540.2231751081,19364.6799515128,20544.0749454393,21085.8213834385,22371.4989447386,23489.9024879816,24573.9304694004,25428.3472800745,26122.2231852654,24867.8563662775,25652.9023759016,24627.0603862338,25361.1710239569,25043.7573896654,24714.5568262461,25600.0521262605,27110.9970518298,28262.878069452,29187.3214877702,30885.1158440259,31757.2314018399,33004.598646042
