LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DNK,,,,,,,,,,,,,,,,,,,,,,66.024378050789,55.2021395477963,64.7580919755815,68.2486563048203,78.1224234803982,81.5724440697143,74.5864366830965,72.4610540070528,67.7397934611359,61.9830416462154,60.0265845270194,56.9962228517359,57.1321141212889,61.566218832556,60.9677668408514,66.5647208805799,73.5259196580717,77.0422708480344,82.8678847810523,85.8397499130142,85.888718130515,85.2183586679413,86.4495468372379,92.8240617527648,107.022176120749,127.549187345061,130.374244770133,122.171535798917,104.167396183305,101.305085338243,96.5764120958004,92.368705850372,94.3446207546524,97.066254099142,100.0,100.929241017365,102.623433124595,104.836437486811,104.416637247208,109.702316226045,121.407604526865
EA,,,,,,,,,,,,,,,,,,,,,97.2995876078568,98.8256845945092,93.2359163138051,91.5661381241902,87.1193411521171,83.3272357029871,82.2085872039645,85.1405939661301,88.4120351950733,92.0065690047792,94.5394006629769,95.8658304587732,94.8687112491446,94.8104620856598,94.2668043488533,91.8574310257553,90.8523353654188,89.9094506758266,89.2825868803723,90.1440789765706,91.3034738930515,91.1500577876135,94.8016587416091,97.6536267212761,101.035359509874,105.360409713948,108.725812655619,109.947213488299,108.479989969146,106.206989880233,106.157350717381,105.587592881369,103.735391383841,101.337256200497,100.277923534571,100.0,101.730012410834,103.3456938591,105.015894036147,106.711179604306,112.402800831506,117.366600171874
EA17,,,,,,,,,,,,,,,,,,,,,108.552015961933,109.632903975607,104.12191640918,98.5128958125236,91.3375699452326,86.1995649295505,85.1267336132161,87.643652502028,90.1095907550265,94.9587292096454,97.4473145708786,97.1386675834622,94.7542394388823,94.4204002800699,93.6457285351262,90.5716266960476,87.5142640226058,85.3332363101939,85.3006351370484,87.0678824209759,89.090173517459,89.6047842286644,92.9810299427443,97.392143597442,101.563329805843,106.995590774499,110.283436596614,111.300502068584,109.22005413464,106.210806926406,106.253291586688,105.781122810855,103.899984432496,101.45981408259,100.385914607519,100.0,101.73358378888,103.291961430697,104.946481160634,106.542577686805,112.376294181164,117.444890150131
ESP,,,,,,,,,,,,67.4376994442981,61.4390985460634,62.2175911127537,69.7317897127462,64.9074518217953,63.6333135861544,70.666829513982,77.6742179782515,71.2304928176556,66.2340828054474,61.6869075832207,55.4751174473242,59.2789743976292,58.9226648653688,58.9824157314088,59.6524195163134,76.3765400800642,88.0686966202528,96.8748917425942,98.8469795457732,101.774872464139,94.380898793881,89.0988168015592,88.3327883244983,84.4927857902158,81.7879542734163,80.1755119726446,79.3457099373699,80.4609792837586,79.6419382557164,81.4212875637941,91.5743431256915,104.477051047701,119.066473345159,130.258817317325,142.348663292083,151.636079329288,144.166282015836,136.606905714098,134.183975517732,123.325301554389,110.856978469408,100.412907523275,100.463478210272,100.0,102.004151630255,105.17600746904,109.60695040423,110.729711835766,120.160316082336,121.968187666971
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.132573744569,148.68586336204,154.841889104635,120.507866214583,83.4005999815821,88.6689641014543,88.2326039349433,91.3972724243234,92.5220557543698,99.2747424009178,100.0,98.9709413795282,96.3942095576249,92.8919776368252,93.6397796667205,98.0945295228477,104.064655043255
FIN,,,,,,,,,,,,,,,,121.503533647332,116.816648460465,110.148225027366,101.506889189096,93.426682868104,92.0231796076349,94.4685538337382,97.7562227899863,104.173835419802,107.861284645167,103.827170446669,101.121587112402,102.360148990992,128.512573540313,143.538693214953,128.805083801144,106.404292706329,89.5987528242699,82.1361926488169,89.0146914006432,80.8986632476491,85.1912317041599,92.3034091652584,95.9018614552549,96.1353069641994,95.5312425356611,90.4081246909321,91.76994103656,93.2437446509695,96.2862263808124,101.813734982758,105.295924954981,105.847360669004,101.429835235016,100.519802954549,102.762814805266,102.618896600583,102.922562279286,102.196705889905,101.336245193166,100.0,99.8406269053808,98.9025385713951,96.8971951092127,94.6542159414504,95.6201286068939,97.7029703419449
FRA,,,,,,,,,,,,,,,,,,,75.5317120603294,77.4151233041293,82.7664370667452,81.5655487066358,75.3767929776228,71.4890700316241,68.4293476963352,68.13090487437,69.8571480460434,73.8467804406372,76.9151920972193,78.1982370446166,78.9532717928507,79.0768228758408,74.1095184926747,72.2034748361756,71.1426076587478,66.3461841786468,64.091714579377,62.5228398979223,61.7399857591103,64.6314337017629,66.7611191341088,68.8672181497123,72.3719177271902,79.7159314106251,88.6901566062101,100.172699040733,107.651285632048,109.632003343837,107.957968504682,100.484730438084,103.204780133853,107.841723019333,106.660638491026,105.441023391564,102.703445965717,100.0,99.461297218764,100.364427417086,100.891160721621,101.432616534932,106.186246324046,109.599701264552
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.507851518802,81.5572866657994,87.8108220496734,77.7893192131493,70.0776110164484,62.8328238093254,58.3236759871783,57.937073269818,55.161651465316,53.9138966346359,56.6375336840078,61.9013763497845,65.593620586597,71.4998784808431,74.3857529565682,84.0846499504763,94.4737962318557,101.597905253588,105.072063441106,108.990553098142,114.634518081809,107.114253071651,95.9055160170291,100.096414791264,98.1752120163104,95.3737922225175,94.4113628157617,99.3005572126382,100.0,105.938308711204,108.540801988957,108.298423323111,105.95717521865,109.954081582815,116.075994831977
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5968083682359,90.1938225075427,93.9152462596729,101.376063688886,109.80204410851,117.106126170662,112.18811882479,107.203131043143,116.715839959935,121.548677464608,121.110311807935,117.232428659274,111.018022377735,117.419703654465,123.550804369591,122.523498675068,116.19251482726,106.230198841191,100.0,98.2578729685282,97.0373255801437,97.2386378857986,98.0374443077584,106.98409709569,105.464632351864
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.449592674293,130.902739445851,124.198265625118,117.723369099479,105.548614567527,99.1243731678673,92.9024841682652,92.3844774335312,100.0,107.331986507054,109.478154889179,111.792132328507,120.740201414417,122.841520743758,129.271265914955
IRL,,,,,,,,,,,,,,,,,,82.1665004992087,94.4599630180692,102.037557203441,99.1198648125745,98.7707013692468,96.2830470429534,95.74983919187,92.1722117870095,87.2223006496997,83.7613831844415,78.1730003072433,80.2003800764033,79.1852406426157,84.0612577429351,81.6622811170342,78.9623041124576,75.0286042494725,77.1826946966229,81.0687810192791,80.7714079608613,86.4576193930414,96.8695696903525,107.956316254891,118.209075667134,117.394167706322,119.057408981256,128.911642111864,136.448122246466,138.591968904605,152.810660270916,155.070724316393,135.94638703708,118.174712706244,105.104287894789,92.5395797367293,78.6186720783987,80.3366320161132,93.3177373242032,100.0,103.71172455005,108.990125915067,116.420600927315,113.729731187147,107.490150569604,109.759297691086
