State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Maryland,4691.0,4959.0,4915.0,5283.0,7446.0,10032.0,11236.0,17458.0,23405.0,24295.0,24512.0,24857.0,26412.0,26093.0,29439.0,29087.0,26249.0,28716.0,30328.0,33007.0,35735.0,37800.0,36254.0,34736.0,34455.0,36655.0,37177.0,34820.0,37466.0,40152.0,43940.0,46469.0,49085.0,49540.0,47457.0,49757.0,47230.0,43127.0,40903.0,38447.0,41663.0,42088.0,42015.0,38778.0,38961.0,39369.0,38111.0,36063.0,35393.0,33625.0,31607.0,28817.0,28055.0,28089.0,26661.0,27462.0,28400.0,30273.0,28320.0,27456.0
Massachusetts,2512.0,2777.0,3207.0,3454.0,4559.0,5270.0,6201.0,6919.0,8916.0,10272.0,11542.0,15317.0,17086.0,20475.0,22545.0,25793.0,23190.0,24593.0,26673.0,30650.0,34444.0,36273.0,33031.0,33264.0,30362.0,31334.0,32476.0,33060.0,36376.0,39912.0,44300.0,44138.0,46727.0,48393.0,42749.0,41739.0,39122.0,39411.0,38192.0,34023.0,30230.0,30585.0,31137.0,30377.0,29489.0,29644.0,32217.0,28487.0,30137.0,30503.0,30737.0,28232.0,26953.0,27667.0,26399.0,26562.0,25677.0,24560.0,23337.0,22578.0
Michigan,17034.0,16499.0,18106.0,18478.0,21153.0,24459.0,27806.0,33390.0,37292.0,44048.0,51090.0,51697.0,50425.0,52921.0,59993.0,62792.0,58814.0,53381.0,53040.0,56558.0,59014.0,59058.0,59806.0,64993.0,68979.0,66714.0,73517.0,71772.0,68980.0,65760.0,73468.0,75232.0,72672.0,75021.0,72751.0,65680.0,60951.0,57663.0,60947.0,56709.0,55159.0,55424.0,54306.0,51550.0,49737.0,55936.0,56981.0,53765.0,51512.0,49825.0,48693.0,43731.0,44922.0,44523.0,42348.0,41231.0,45572.0,44826.0,44918.0,43686.0
Minnesota,1435.0,1505.0,1674.0,1983.0,2601.0,3074.0,3691.0,4727.0,5111.0,5253.0,5782.0,5993.0,6798.0,6926.0,8119.0,8125.0,7492.0,7705.0,7601.0,8973.0,9250.0,9344.0,9062.0,7909.0,8802.0,10751.0,11991.0,12118.0,12490.0,12549.0,13392.0,14006.0,15144.0,15986.0,16397.0,16416.0,15782.0,15827.0,14656.0,13085.0,13813.0,13145.0,13428.0,13316.0,13751.0,15243.0,16042.0,15054.0,13853.0,12874.0,12515.0,12323.0,12419.0,12705.0,12505.0,13319.0,13394.0,13291.0,12369.0,13332.0
Mississippi,2236.0,2274.0,2079.0,1779.0,4118.0,3949.0,3504.0,2672.0,3397.0,3354.0,3974.0,6151.0,7076.0,7734.0,7782.0,7411.0,6954.0,6896.0,7721.0,7786.0,8588.0,7706.0,7515.0,7255.0,7326.0,7079.0,7196.0,7081.0,8544.0,8156.0,8758.0,10085.0,10763.0,11467.0,13177.0,13560.0,13261.0,12808.0,11302.0,9671.0,10267.0,10006.0,9858.0,9336.0,8568.0,8131.0,9076.0,8502.0,8942.0,8451.0,7999.0,8009.0,7786.0,8214.0,8338.0,8254.0,8383.0,8526.0,6999.0,8272.0
Missouri,7468.0,7266.0,8059.0,8629.0,9553.0,10588.0,11149.0,12746.0,15216.0,18260.0,18986.0,18357.0,18223.0,19441.0,21612.0,23521.0,21470.0,22105.0,22738.0,25662.0,27177.0,26675.0,25078.0,23718.0,23071.0,25321.0,29310.0,27792.0,28393.0,32634.0,36602.0,39358.0,38448.0,38963.0,39240.0,35339.0,31669.0,31192.0,30222.0,27353.0,27419.0,30472.0,30557.0,28067.0,28226.0,30477.0,31897.0,32962.0,29701.0,29513.0,27440.0,26888.0,27155.0,26197.0,26856.0,30261.0,31644.0,32420.0,30758.0,30380.0
Montana,453.0,457.0,390.0,414.0,564.0,514.0,507.0,588.0,610.0,682.0,774.0,971.0,1079.0,1207.0,1194.0,1418.0,1358.0,1659.0,1865.0,1762.0,1740.0,2004.0,1801.0,1737.0,1958.0,1722.0,1289.0,1223.0,989.0,935.0,1273.0,1130.0,1400.0,1489.0,1516.0,1491.0,1415.0,1161.0,1797.0,2090.0,2807.0,3187.0,3197.0,3351.0,2723.0,2634.0,3564.0,3638.0,3013.0,2798.0,2733.0,2755.0,2736.0,2567.0,3313.0,3611.0,3840.0,3961.0,3974.0,4328.0
Nebraska,590.0,586.0,637.0,591.0,776.0,852.0,941.0,1624.0,2103.0,2302.0,2731.0,2355.0,2638.0,2859.0,3697.0,3986.0,3269.0,3113.0,2982.0,3556.0,3512.0,2861.0,3641.0,3477.0,3627.0,3821.0,4196.0,4004.0,4374.0,4503.0,5209.0,5330.0,5598.0,6071.0,6322.0,6253.0,7182.0,7265.0,7507.0,7167.0,5606.0,5214.0,5428.0,5105.0,5393.0,5052.0,5197.0,5524.0,5570.0,5199.0,5093.0,4672.0,4814.0,4897.0,5275.0,5212.0,5550.0,5873.0,5494.0,5821.0
Nevada,416.0,549.0,711.0,755.0,983.0,953.0,987.0,1100.0,1261.0,1642.0,1948.0,1887.0,2264.0,3135.0,3910.0,4018.0,4215.0,4703.0,5153.0,5866.0,7304.0,7575.0,7096.0,5838.0,5726.0,6244.0,6923.0,7006.0,8275.0,6947.0,7222.0,8693.0,9247.0,12157.0,14597.0,14461.0,13005.0,13395.0,11244.0,10311.0,10474.0,12359.0,13856.0,13813.0,14379.0,14654.0,18687.0,19365.0,18973.0,18639.0,17929.0,15452.0,16763.0,16824.0,18045.0,20118.0,19936.0,16667.0,16420.0,15210.0
New Hampshire,81.0,89.0,178.0,164.0,149.0,156.0,259.0,218.0,279.0,325.0,413.0,580.0,491.0,649.0,739.0,816.0,709.0,960.0,1035.0,1241.0,1653.0,1375.0,1187.0,1200.0,1308.0,1405.0,1433.0,1581.0,1622.0,1865.0,1459.0,1318.0,1397.0,1550.0,1328.0,1314.0,1373.0,1328.0,1270.0,1159.0,2167.0,2144.0,2056.0,1937.0,2202.0,1761.0,1785.0,1896.0,2054.0,2125.0,2204.0,2864.0,2481.0,2849.0,2602.0,2652.0,2637.0,2668.0,2349.0,2074.0
