LOCATION,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FIN,36444.4000231351,36879.5650236566,36322.4634094598,35050.546818366,35547.3078685898,36945.8388759247,37792.1619839141,37824.3577916122,38822.8784156785,39731.0030723407,40413.1353230781,40625.7132866879,40843.9674199349,41620.2018897247,42993.8338865253,43899.0209557652,44807.6303556323,45406.405989497,45794.6343991341,46189.5033711431,46828.7275024312,46842.0146347727,46879.3937880133,46410.7303768431,46395.4298405516,46758.811643577,47169.4791171538,46898.6579732219,47244.6404457039,47731.3810694198,47877.6324062913,49707.6290980261
FRA,36406.3400578098,36827.9316116628,37240.1678735709,37669.4979917754,37826.8644706853,38388.1597060243,38501.8421413919,38932.2118077426,39533.7108468679,40404.2167691075,40596.6445951239,40852.1825018759,41954.1258314029,42296.6523148312,42986.244252655,43504.1324562404,43989.842643363,44150.8662706574,44066.1904791078,45468.229882477,46386.1118555352,46302.8163666344,46602.6466219276,46995.2170551426,47318.5317957179,47769.9773576127,48322.4788674439,48993.0499210396,48930.5037126329,49402.5244825536,47372.8084858398,49312.5814817124
GBR,33228.8547892351,33190.8591435827,33839.7147015767,34371.6209222182,34977.4440356684,34989.0668584098,34946.5897411872,36203.3772975994,36778.9263150691,38737.8062373543,40560.7801323258,42104.3090903274,42699.2729339747,43911.1917690286,45191.3465638847,45236.1160365774,46501.3946527842,47698.9078120867,46589.5238514264,46709.5561354924,46909.8895566434,46073.2716851121,45524.8720256628,46021.9566473194,46045.380666781,46812.6317066422,47512.2430245162,47613.8896284349,47872.0636136948,48615.8690884243,48563.7642841697,49979.2556841196
GRC,,,,,,21006.8264231154,21224.7590161742,23613.5402211417,25566.4468492557,25975.0808477967,27453.1233512965,28375.8663831811,30956.100245246,32319.6806789271,32912.3962172002,32802.5260136467,33192.70112636,33198.830858902,32685.048263139,34228.2245278187,32664.8556355899,30592.6257594606,28812.3590929224,26929.4689535767,26818.6088636713,27082.0734366134,26460.6757105503,26629.7747446517,25400.4681553569,25629.6136887256,25719.5130850906,25743.5073041973
HUN,,,,,,14951.1266197685,14956.6487761518,15325.7264425131,15669.9225819232,15737.9655435961,16462.6021061384,17713.9492558374,18599.3426044854,20088.3335667608,21490.6683325556,22438.3618536691,22874.70203962,22705.0639650879,23021.2956335465,21704.9517002736,21991.4515250729,22275.5023240536,21533.7985602137,21310.7788205027,21030.7013397901,21193.7019748853,21385.9900179807,22932.8795299802,24056.025348271,24852.7035959588,25274.6430734428,26268.0369337144
IRL,26862.5192830562,27972.400891202,29137.9508687056,30580.2907558098,30779.9058830745,31326.3337690155,31801.0349339223,33565.687233841,35558.7440935331,36367.1193747759,37155.235995148,38575.8948508008,38968.0393573658,40141.8306228462,41499.8591948767,43042.7917098121,43408.382970429,44660.9331148073,46416.5333137634,50191.0806480324,50349.6186589652,49757.5205468858,49401.3812825716,48266.1960432386,47981.406664507,47926.2351539284,48576.1930325078,49194.6667553763,49552.9862607009,50447.9581379289,50751.3923804161,51045.0787116261
ISL,40126.2621576618,43380.8790281001,41876.9017609702,39663.4491571355,40461.8196924712,41436.376306062,42749.723703169,44562.9153678472,49179.9507866515,51480.2803972619,53058.0895907206,52651.7443085075,54164.8912146127,52789.3216503329,55977.2707376187,60319.1164321304,63492.2702863938,65398.880829955,57975.6714170623,49081.1866625024,50508.1994308566,52650.7545614979,52378.0326198194,53176.2012948351,53931.1453329026,57496.5236548933,61991.1516507712,67897.2819241499,71756.601973718,71002.5174020138,68118.9155210663,72047.3589701472
ISR,,,,,,29413.8618794101,31974.4338923809,32971.067310418,34260.1535780048,34880.6310310523,36017.7075849572,36541.6911580084,35176.9558316216,33974.9926911315,33488.567820238,33597.7414688303,34541.3735264742,34879.1254739486,34129.2929228828,33299.4397377855,33256.3842037834,33570.3851113729,34139.998140731,34272.5322849684,34521.1007783491,35546.0725838944,36928.6201001826,38066.6244881282,39142.8293233069,39960.0644052245,40047.2423853235,42164.806114266
ITA,40282.0737299395,40620.4883151397,40581.1632082795,39956.0793372764,39438.6698038646,38575.2494874017,38888.5527853286,39998.7170644818,40132.6666921689,40591.69010925,40574.8935825587,40862.3745865276,40572.9991356831,40461.0260455649,41244.2822031254,41792.9012941104,42052.4030865912,42038.2190799334,41984.6047402379,42305.508040975,42669.1121098793,41981.3474944712,40654.6113437852,40783.7279388462,40939.7003746712,41300.2733336456,41629.126030765,41354.645592233,41414.8416985773,41625.2801490976,39207.8129041127,40767.203813809
JPN,37369.9210130677,37866.1856581461,37980.674196536,37614.4708175957,37992.783349472,38434.6566712956,38594.5157980876,38900.1111985025,38736.5391902857,38606.6561163847,38823.4636854066,38428.1660132626,37652.1117113793,37684.4300093154,38313.8338144174,39299.4133922074,39276.0062270851,39170.8312732221,38855.8943836432,38299.657736963,38420.9899271287,39037.3038970032,38387.617445982,38417.8415023552,37725.9974487493,37542.4742517803,38056.0421792069,38150.9261039504,38583.6233688726,39077.0157833559,38850.0172427144,39711.4297446814
