Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
"Cabo Verde",11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,15.2777777777778,18.0555555555556,18.0555555555556,18.0555555555556,18.0555555555556,20.8333333333333,20.8333333333333,20.8333333333333,20.8333333333333,20.8333333333333,23.6111111111111,23.6111111111111,23.6111111111111,23.6111111111111,25,38.8888888888889
"Costa Rica",15.7894736842105,19.2982456140351,19.2982456140351,19.2982456140351,19.2982456140351,35.0877192982456,35.0877192982456,35.0877192982456,35.0877192982456,38.5964912280702,36.8421052631579,36.8421052631579,36.8421052631579,38.5964912280702,38.5964912280702,38.5964912280702,38.5964912280702,33.3333333333333,33.3333333333333,33.3333333333333,35.0877192982456,45.6140350877193,45.6140350877193,45.6140350877193,45.6140350877193
"Caribbean small states",11.5702479338843,12.0234604105572,12.9113924050633,13.2258064516129,14.6153846153846,NaN,15.9353348729792,17.8240740740741,17.8240740740741,17.2413793103448,18.0995475113122,17.4887892376682,17.3814898419865,15.2466367713004,15.8482142857143,16.1797752808989,17.0786516853933,17.155756207675,19.7309417040359,20.4035874439462,21.2527964205817,21.923937360179,22.5950782997763,25.503355704698,25.8928571428571
"Cuba",22.7504244482173,27.6206322795341,27.6206322795341,27.6206322795341,27.6206322795341,27.6206322795341,35.9605911330049,35.9605911330049,35.9605911330049,35.9605911330049,35.9605911330049,43.1596091205212,43.1596091205212,43.1596091205212,45.221843003413,45.221843003413,48.8562091503268,48.8562091503268,48.8562091503268,48.8562091503268,48.8562091503268,53.2231404958678,53.2231404958678,53.2231404958678,53.4129692832764
"Cyprus",5.35714285714286,5.35714285714286,5.35714285714286,7.14285714285714,10.7142857142857,10.7142857142857,10.7142857142857,16.0714285714286,16.0714285714286,14.2857142857143,14.2857142857143,14.2857142857143,12.5,12.5,10.7142857142857,10.7142857142857,10.7142857142857,12.5,12.5,17.8571428571429,17.8571428571429,17.8571428571429,17.8571428571429,19.6428571428571,14.2857142857143
"Czechia",15,15,15,15,15,17,17,17,17,15.5,15.5,15.5,15.5,22,22,22,19.5,19.5,20,20,22,22,22.5,22.5,25
"Germany",26.1904761904762,26.1904761904762,30.9417040358744,30.9417040358744,31.0810810810811,32.1724709784411,32.1724709784411,32.75,31.7589576547231,31.5960912052117,31.6476345840131,32.1895424836601,32.7974276527331,32.7974276527331,32.9032258064516,32.9032258064516,36.4500792393027,36.4500792393027,36.4500792393027,36.4500792393027,30.7475317348378,30.7475317348378,30.8885754583921,31.1706629055007,34.9184782608696
"Djibouti",NaN,0,0,0,0,0,10.7692307692308,10.7692307692308,10.7692307692308,10.7692307692308,13.8461538461538,13.8461538461538,13.8461538461538,13.8461538461538,13.8461538461538,13.8461538461538,12.7272727272727,12.7272727272727,12.7272727272727,12.7272727272727,10.7692307692308,26.1538461538462,26.1538461538462,26.1538461538462,26.1538461538462
"Dominica",9.375,9.375,9.375,NaN,18.75,18.75,18.75,19.3548387096774,12.9032258064516,12.9032258064516,16.1290322580645,18.75,14.2857142857143,12.5,12.5,12.5,12.5,12.9032258064516,21.875,21.875,25,25,25,34.375,34.375
"Denmark",32.9608938547486,37.4301675977654,37.4301675977654,37.4301675977654,NaN,37.9888268156425,37.9888268156425,37.9888268156425,36.8715083798883,36.8715083798883,37.9888268156425,37.9888268156425,37.9888268156425,37.9888268156425,39.1061452513966,39.1061452513966,39.1061452513966,39.1061452513966,37.4301675977654,37.4301675977654,37.4301675977654,37.4301675977654,39.1061452513966,39.6648044692737,39.6648044692737
