Date,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
01/12/2009,,6.76,97.87,13.57,68.5,123.41,34.14,-30.08,-76.44,71.3,361.49,-70.37,30.53,0.30000000000000004,6.38,58.74,47.66,49.13,12.2,12.32,331.76,69.55000000000001,52.56,48.9,-125.43
01/12/2010,,,,,-164.75,,,,,,,,,,,,,29.93,,,,,,,
01/12/2012,,75.31,30.69,23.05,,27.54,35.12,0.72,-22.4,32.88,153.01,,21.46,12.09,16.47,140.94,27.2,-1.17,,9.71,,42.19,29.71,30.06,0.51
01/12/2015,,,35.58,29.82,,,63.42,59.04,32.96,46.72,120.98,,54.17,23.11,19.41,,49.36,65.83,,,103.39,55.86,47.85,45.64,-22.34
01/12/2020,-9.43,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2021,,,76.47,68.78,-16.63,,,48.33,,89.87,185.28,,76.26,54.0,55.73,36.8,63.08,153.07,,,167.9,90.69,69.9,71.88,-33.32
01/13/1996,109.79,,,,,,,,,,,,,,,,,,,,,,,,
01/13/1997,98.79,,,,,,,,,,,,,,,,,,,,,,,,-67.51
01/13/1998,,-202.14,,,47.95,-110.93,,,-62.55,,-82.69,,,,,112.81,,,-14.15,49.91,,,,,
01/13/2003,79.69,,,,,,,,,,,,,,,,,-117.97,,,,,,,
01/13/2004,-13.91,-101.59,,,-65.5,9.84,27.52,,-9.55,,69.12,-3.3000000000000003,,,,,,100.33,92.48,29.01,10.0,,,,
01/13/2005,,-50.34,,,,,,,,,,,,,,,,,,,,,,,
01/13/2009,-54.18,,,,,,,-35.86,,,,,,,,,,,,,,,,,
01/13/2010,,42.45,15.88,,,25.67,8.32,,-38.74,25.42,76.88,115.03,45.77,,-11.59,-57.41,29.16,,-39.1,44.02,94.59,34.16,32.55,26.64,
01/13/2015,-5.77,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2016,,-15.65,84.68,,-138.95,59.37,41.22,,74.46,63.42,-18.52,104.23,71.17,,21.01,-113.51,49.66,70.03,75.1,52.22,39.39,72.36,50.35,52.14,
01/13/2021,84.27,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2022,,45.28,108.77,81.18,222.47,96.18,41.0,,77.56,80.07,165.68,56.43,78.76,,53.03,196.8,66.38,131.47,41.9,80.43,131.0,88.29,76.6,75.98,
01/14/1993,,,,,,,,,,,,,,,,,,,,,8.0,,,,
01/14/1998,,,0.74,7.49,,,38.25,-4.58,,-4.63,,-29.28,6.67,3.07,-18.61,,1.02,-113.47,,,-37.7,0.57,-1.14,-0.85,25.49
01/14/1999,,,,,13.95,,,,,,,,,,,,,,,39.41,,,,,
01/14/2004,,-112.74,42.03,40.739999999999995,-58.95,,28.55,42.84,,33.25,,,48.93000000000001,32.96,-56.14,24.45,11.120000000000001,,,18.21,10.17,40.66,27.270000000000003,23.61,-45.4
01/14/2005,-95.11,,,,,23.37,,,,,,,,,,,,,,38.01,,,,,
01/14/2010,167.33,,,18.52,,,,-13.46,,,,,,-24.09,,,,,,,,,,,-73.44
01/14/2011,,,,,-3.65,,66.12,,,,,,,,,,,50.73,,,,,,,
01/14/2016,139.93,,,50.32,,,,81.24,,,,,,28.51,,,,,,,,,,,5.76
01/14/2017,,,,,,,,,,,,,,,,,,,45.6,,,,,,
