Date,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
1993-11-09,,,-17.36,9.99,,,20.15,47.82,65.55,-2.33,-74.49,81.32,9.77,35.97,23.89,,-15.38,,,,,-21.93,-5.64,-5.15,18.99
1993-11-10,97.89,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-18,,106.96,,,-91.45,,,,,,,-23.88,,,,91.71,,,35.95,-31.59,-3.0,,,,
1993-11-19,,,-34.56,2.29,,8.27,-6.55,20.12,24.25,-16.03,-56.29,,4.47,18.47,17.79,,-17.48,90.33,,,,-28.53,-9.84,-11.75,6.79
1993-11-20,-69.11,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-28,,111.16,,,-216.05,8.17,,,10.25,,,-9.38,,,,2.11,,,-70.05,-70.19,19.6,,,,
1993-11-29,,,-65.16,0.29,,,-53.65,5.22,,-35.83,-51.39,,-1.03,21.27,3.29,,-9.78,-27.67,,,,-24.13,-13.14,-13.35,-73.41
1993-11-30,21.29,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-08,,25.46,-55.16,,-306.05,-7.93,-54.65,,12.05,-28.53,,19.72,-6.93,,13.49,-19.29,-9.68,47.93,-47.95,-60.39,21.3,-17.13,-14.84,-12.15,
1993-12-09,49.29,,,-0.41,,,,8.22,,,-43.09,,,13.47,,,,,,,,,,,-87.51
1993-12-17,,,,,-212.85,,,,,,,,,,,,,,,,,,,,
1993-12-18,,18.86,-31.66,-3.81,,24.97,-25.05,,-5.05,-17.13,4.91,4.72,-1.13,,13.99,-83.49,-3.48,69.83,-34.85,-0.79,89.8,-8.23,-6.44,-5.85,
1993-12-19,4.99,,,,,,,1.42,,,,,,0.07,,,,,,,,,,,-86.61
1993-12-27,,,,,7.75,,,,,,,,,,,,,,,,,,,,
1993-12-28,,57.06,-16.86,-1.31,,38.47,8.35,,-34.85,-13.93,28.41,0.82,-1.33,2.47,2.79,-70.19,-6.68,,-14.05,6.21,64.3,-6.83,-5.54,-5.25,
1993-12-29,9.79,,,,,,,0.92,,,,,,,,,,71.23,,,,,,,-66.51
1994-01-06,,,,,-106.65,,,,,,,,,,,,,,,-1.29,,,,,
1994-01-07,,-1.44,3.84,-13.81,,35.27,6.35,,-50.75,-19.93,5.91,28.02,-14.13,-22.73,-15.61,-126.89,-15.88,1.03,-35.75,,-31.4,-15.93,-14.94,-15.15,
1994-01-08,50.69,,,,,,,-2.98,,,,,,,,,,,,,,,,,-56.81
1994-01-16,,,,,-113.15,,,,,,,,,,,,,,,-23.39,,,,,
1994-01-17,,-55.54,8.84,-21.01,,29.27,-22.65,-18.98,-63.55,-15.33,-0.79,-5.38,-13.73,-31.83,-28.61,-29.79,-15.68,89.53,7.95,,-8.2,-13.63,-14.14,-16.15,-36.81
1994-01-18,12.39,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-26,,,,,70.65,,,,,,,,,,,54.81,,,,-37.79,,,,,
1994-01-27,,-64.54,8.14,-31.21,,17.77,-34.05,-33.28,-92.55,-8.03,19.51,-138.28,-21.43,-48.53,-38.31,,-15.68,47.23,-33.85,,7.3,-5.83,-17.84,-18.55,-101.01
1994-01-28,-146.81,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-04,,,,,255.25,,,,,,,,,,,,,,,,,,,,
1994-02-05,,-61.54,,,,,,,,,,,,,,-145.89,,-39.77,,-49.39,,,,,
1994-02-06,,,-4.86,-24.51,,12.57,-6.35,-26.18,-73.85,-10.83,-7.89,-110.78,-33.43,-47.73,-48.61,,-19.88,,-88.65,,-56.1,-0.53,-23.44,-20.85,-154.41
1994-02-07,-79.61,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-15,,-88.14,,,-2.45,15.47,,,,,,-13.48,,,,-143.89,,,,,,,,,
