,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
32,France,0.24028854072094,0.227989554405212,0.216724708676338,0.207239598035812,0.198491379618645,0.190055534243584,0.182772845029831,0.176031976938248,0.175129354000092,0.174137145280838,0.173496320843697,0.175443977117538,0.170218035578728,0.167409032583237,0.16720812022686,0.166163548827171,0.163946911692619,0.136094629764557,0.133084312081337,0.126842573285103,0.12254174053669,0.11500596255064,0.0862388834357262,0.0842440500855446
34,Gabon,0.575565159320831,0.577804446220398,0.578934967517853,0.580594718456268,0.581724166870117,0.583058297634125,0.585200607776642,0.587774813175201,0.586302816867828,0.584845304489136,0.578706443309784,0.575600147247314,0.572419583797455,0.569634139537811,0.566699326038361,0.563805043697357,0.547019183635712,0.530733644962311,0.527468681335449,0.52999746799469,0.526449799537659,0.524892568588257,0.51661479473114,0.512215673923492
37,Zimbabwe,0.629002749919891,0.625098586082459,0.621713399887085,0.618424594402313,0.615430355072021,0.612743079662323,0.612717509269714,0.612720966339111,0.612322568893433,0.613963901996613,0.62921530008316,0.620906591415405,0.615923941135406,0.61397397518158,0.612172842025757,0.589034795761108,0.583045065402985,0.581052839756012,0.578621208667755,0.574173271656036,0.568874001502991,0.561734914779663,0.553989589214325,0.507522404193878
39,Denmark,0.10053813457489,0.100513026118279,0.106251075863838,0.110749959945679,0.116990633308887,0.12199455499649,0.1127769947052,0.103399813175201,0.0853916704654694,0.075641818344593,0.0701400265097618,0.067504808306694,0.0654115229845047,0.0639893487095833,0.0622197911143303,0.0620573759078979,0.0603648498654366,0.0577279105782509,0.0562911257147789,0.0546015873551369,0.053112581372261,0.0502987168729305,0.0486532226204872,0.0466840416193008
41,Dominican Republic,0.603828072547913,0.596038401126862,0.587678730487823,0.578685998916626,0.570175349712372,0.56106024980545,0.552631497383118,0.543835878372192,0.521763503551483,0.514471650123596,0.506826162338257,0.507613658905029,0.504385352134705,0.505225479602814,0.505754470825195,0.505899608135223,0.49970531463623,0.499990880489349,0.499394655227661,0.499000877141953,0.495309948921204,0.488452941179276,0.48103740811348,0.473099023103714
43,Ecuador,0.605089485645294,0.601555645465851,0.597370803356171,0.593466341495514,0.590245544910431,0.586580872535706,0.58521968126297,0.584245920181274,0.500871241092682,0.496970295906067,0.503726482391357,0.493869990110397,0.489619463682175,0.484652787446976,0.476881325244904,0.476195573806763,0.44976270198822,0.450018227100372,0.44904437661171,0.431602865457535,0.427937239408493,0.425461709499359,0.423005521297455,0.410837382078171
45,Egypt,0.644035637378693,0.65440422296524,0.650559365749359,0.65288370847702,0.649902284145355,0.652093291282654,0.6536705493927,0.656240165233612,0.654106616973877,0.649226605892181,0.642497062683105,0.626708567142487,0.628652989864349,0.623886108398438,0.609454691410065,0.62288624048233,0.615488350391388,0.60880720615387,0.603765904903412,0.598348677158356,0.48202458024025,0.583486437797546,0.579599559307098,
47,Cuba,0.425896883010864,0.42340075969696,0.420899450778961,0.421812236309052,0.422782093286514,0.42419770359993,0.427113085985184,0.430507451295853,0.415142446756363,0.410796523094177,0.406291723251343,0.401155054569244,0.395673125982285,0.378258675336838,0.376256138086319,0.373638510704041,0.372917205095291,0.371218830347061,0.362726360559464,0.363817036151886,0.365145027637482,0.361612766981125,0.360676467418671,0.355596333742142
50,"Gambia, The",0.691157400608063,0.691871225833893,0.693407773971558,0.696277022361755,0.69999760389328,0.705063879489899,0.713311970233917,0.724895715713501,0.722990870475769,0.721157133579254,0.719275236129761,0.715766370296478,0.667874813079834,0.626557469367981,0.623643040657043,0.620616376399994,0.617613196372986,0.630885124206543,0.629057466983795,0.637727797031403,0.636009931564331,0.635243833065033,0.634446442127228,0.63235867023468
53,Germany,,,,,,,,0.143434688448906,0.142497763037682,0.130152195692062,0.129017919301987,0.124868214130402,0.119226939976215,0.113835729658604,0.108260080218315,0.105765417218208,0.10209608823061,0.0983484759926796,0.089460089802742,0.0794882923364639,0.0696324855089188,0.0581116005778313,0.0457668490707874,0.0372925288975239
